"day_from_first_ptvisit","count","avg_Efficiency","sd_Efficiency","se_Efficiency","ci_lower_Efficiency","ci_upper_Efficiency","avg_tst","sd_tst","se_tst","ci_lower_tst","ci_upper_tst","avg_waso","sd_waso","se_waso","ci_lower_waso","ci_upper_waso","avg_sfi","sd_sfi","se_sfi","ci_lower_sfi","ci_upper_sfi"
45,43,81.5293023255814,9.79392168044106,1.49355905421676,78.6019265793165,84.4566780718463,472.093023255814,110.929581685965,16.9166026147036,438.936482130995,505.249564380633,108.46511627907,66.2406682869761,10.1016072116402,88.665966144255,128.264266413884,97.1844186046512,20.0594634242349,3.05903949383499,91.1887011967346,103.180136012568
46,39,81.0771794871795,10.1383347404316,1.62343282464329,77.8952511508787,84.2591078234803,463.769230769231,135.131410026346,21.6383432085971,421.358078080381,506.180383458081,105.205128205128,63.8749516375054,10.228178080103,85.1578991681264,125.25235724213,97.115641025641,26.2838825733738,4.20878959130405,88.8664134266851,105.364868624597
47,33,82.8460606060606,9.34982083364233,1.62759489432621,79.6559746131812,86.03614659894,495.060606060606,123.481258546069,21.4953280421592,452.929763097974,537.191449023238,101.393939393939,60.1123632218965,10.4642192836252,80.8840695980339,121.903809189845,95.6854545454545,17.1249834107418,2.98107697042214,89.8425436834272,101.528365407482
48,39,83.7092307692308,10.5065146167848,1.68238878851191,80.4117487437474,87.0067127947141,470.666666666667,106.563628961967,17.0638371684502,437.221545816504,504.111787516829,95.025641025641,74.6093288859719,11.9470540911472,71.6094150069924,118.44186704429,98.6312820512821,24.3099677606454,3.89271025657333,91.0015699483983,106.260994154166
49,38,83.665,10.9667297227027,1.77903848077381,80.1780845776834,87.1519154223167,447.789473684211,104.638930767415,16.9746760546936,414.519108617011,481.05983875141,89.0263157894737,64.9950047320084,10.543582034027,68.3608950027807,109.691736576167,97.1957894736842,18.9326889670234,3.07128771005724,91.176065561972,103.215513385396
50,39,84.5971794871795,12.1457677161349,1.94487936093011,80.7852159397565,88.4091430346025,456.589743589744,101.308730321756,16.2223799507602,424.793878886254,488.385608293234,90.1538461538462,82.4626034736954,13.2045844522038,64.2728606275267,116.034831680166,95.1692307692308,13.3218462021905,2.13320263763208,90.9881535994719,99.3503079389896
51,42,84.5097619047619,9.90226815310888,1.52795314824764,81.5149737341965,87.5045500753273,489.666666666667,119.77655348284,18.4819234493159,453.442096706008,525.891236627326,89.0238095238095,58.9503669262823,9.09623909821987,71.1951808912986,106.85243815632,102.570714285714,23.7559534405083,3.66562319741391,95.386092818783,109.755335752646
52,41,81.2270731707317,9.66857984501924,1.50997848651701,78.2675153371584,84.1866310043051,467,128.967050055431,20.1412693668328,427.523112041008,506.476887958992,107.975609756098,64.1901424694158,10.0248160256142,88.3269703458936,127.624249166301,101.251219512195,22.7946781283617,3.55993063434617,94.2737554688766,108.228683555514
53,45,83.5264444444445,10.5164576985434,1.56770095309627,80.4537505763758,86.5991383125131,467.733333333333,110.671175519686,16.4978847741219,435.397479176055,500.069187490612,94.8222222222222,69.0254527787622,10.2897069727343,74.6543965556631,114.990047888781,98.8528888888889,23.502870774577,3.50360111455648,91.9858307043582,105.71994707342
54,40,84.124,10.1051953634422,1.59777167747251,80.9923675121539,87.2556324878461,478.95,99.0754568692275,15.6652051964267,448.246197815004,509.653802184996,92.325,63.6840709866753,10.069335749487,72.5891019310054,112.060898068995,101.965,28.4937770984005,4.50526173860447,93.1346869923352,110.795313007665
55,34,82.1935294117647,11.7136674593226,2.00887739610367,78.2561297154015,86.1309291081279,491.470588235294,104.228547038829,17.8750483486185,456.435493472002,526.505682998587,111.823529411765,80.4063432550606,13.7895741047258,84.7959641665022,138.851094657027,96.7702941176471,18.4002588066934,3.1556183516039,90.5852821485034,102.955306086791
56,37,81.0213513513514,11.6541118547542,1.91592418686495,77.266139945096,84.7765627576067,436.756756756757,111.447148761047,18.3217983943857,400.846031903761,472.667481609753,106.891891891892,71.2405096150372,11.7118676358297,83.9366313256657,129.847152458118,99.2362162162162,20.0616570922066,3.29811610962611,92.771908641349,105.700523791083
57,40,85.8485,10.5217670715376,1.66363744779093,82.5877706023298,89.1092293976702,453.975,116.10903087737,18.3584497243654,417.992438540244,489.957561459756,75.4,61.3312987399436,9.69732979372183,56.3932336043052,94.4067663956948,102.37275,28.2622734842758,4.46865780324473,93.6141807056403,111.13131929436
58,34,86.4535294117647,9.67313489417608,1.65892894824383,83.2020286732068,89.7050301503226,469.529411764706,108.747200672886,18.6499910536084,432.975429299633,506.083394229778,74.7941176470588,57.859170411552,9.92276586310047,55.3454965553819,94.2427387387358,98.6467647058823,18.8841133681339,3.23859872430571,92.2991112062432,104.994418205522
59,41,83.9587804878049,10.6287306850635,1.65992885518722,80.7053199316379,87.2122410439718,472.756097560976,124.528868237009,19.4481418163042,434.637739601019,510.874455520932,89.4634146341463,64.8803119447555,10.1326023889187,69.6035139518657,109.323315316427,98.2519512195122,21.6062329224129,3.37432667573468,91.6382709350722,104.865631503952
60,36,84.5791666666667,13.8390968687576,2.30651614479294,80.0583950228725,89.0999383104608,489.166666666667,138.307628133809,23.0512713556348,443.986174809622,534.347158523711,95.9166666666667,99.2006264381142,16.5334377396857,63.5111286968827,128.322204636451,101.3125,27.5178705960846,4.5863117660141,92.3233289386124,110.301671061388
61,34,80.2497058823529,13.3966559566171,2.2975075422008,75.7465910996394,84.7528206650665,467.058823529412,114.519269564577,19.6398927018785,428.56463383373,505.553013225094,118.117647058824,89.3209279172181,15.3184127614189,88.0935580464425,148.141736071205,95.0697058823529,18.4881714003591,3.17069523703378,88.8551432177667,101.284268546939
62,38,82.8623684210526,11.9928520229502,1.94549749857393,79.0491933238477,86.6755435182575,499.842105263158,122.793504167437,19.9197367516678,460.799421229889,538.884789296427,105.131578947368,85.1796737118414,13.8179677209896,78.0483622142289,132.214795680508,100.832105263158,23.4190557842638,3.79907251086387,93.3859231418647,108.278287384451
63,40,86.1415,11.1338657672471,1.76041874935395,82.6910792512663,89.5919207487337,466.4,113.489364688661,17.9442441310827,431.229281503078,501.570718496922,77.875,70.3326117960316,11.1205623531943,56.0786977877392,99.6713022122608,99.38275,19.3534697064761,3.06005224497674,93.3850475998456,105.380452400154
64,36,84.4344444444444,11.2894406908009,1.88157344846682,80.7465604854495,88.1223284034394,430.861111111111,118.391397558577,19.7318995930962,392.186587908643,469.53563431358,81.8611111111111,69.5989132828863,11.5998188804811,59.1254661053682,104.596756116854,110.341944444444,35.54696248381,5.92449374730167,98.7299366997332,121.953952189156
65,36,86.6308333333333,9.76464595949519,1.6274409932492,83.4410489865649,89.8206176801018,448.361111111111,133.939891161836,22.3233151936393,404.607413331578,492.114808890644,70.4166666666667,58.0632044782728,9.67720074637879,51.4493532037642,89.3839801295691,105.204444444444,21.6571663420738,3.60952772367897,98.1297701060337,112.279118782855
66,38,82.335,10.0274498253544,1.62666716098641,79.1467323644666,85.5232676355334,451.236842105263,123.564718617636,20.0448442557757,411.948947363943,490.524736846583,97.9210526315789,66.8614467262075,10.8463589067841,76.662189174282,119.179916088876,101.920789473684,20.9790275431723,3.40324766199483,95.2504240561744,108.591154891194
67,37,84.3943243243243,10.2089346871967,1.67833852404167,81.1047808172027,87.683867831446,495.540540540541,130.065281599193,21.3826005784935,453.630643406693,537.450437674388,87.2432432432432,56.4340349461236,9.27769819469787,69.0589547816354,105.427531704851,97.5621621621622,22.815729605196,3.75088284172708,90.2104317923771,104.913892531947
68,41,83.1053658536585,10.1494529649536,1.58507825064827,79.9986124823879,86.2121192249291,493.512195121951,100.985672734111,15.7713124077378,462.600422802785,524.423967441117,103.365853658537,72.0283819398857,11.2489433703013,81.3179246527461,125.413782664327,95.0746341463415,16.116037679523,2.51690223114963,90.1415057732882,100.007762519395
69,37,84.062972972973,10.8650215689475,1.78619854298583,80.5620238287208,87.5639221172252,485.135135135135,110.175406149104,18.1127251968692,449.634193749272,520.636076520999,93.4324324324324,70.180933047113,11.5376743210905,70.8185907630951,116.04627410177,106.234864864865,27.2888191004649,4.48625422487552,97.4418065841088,115.027923145621
70,35,83.5777142857143,10.7842458859083,1.82287025890279,80.0048885782648,87.1505399931638,459.257142857143,134.377944368758,22.7140182849856,414.737667018571,503.776618695715,91.4857142857143,69.3021396107065,11.7141996307556,68.5258830094332,114.445545561995,100.845428571429,25.564620697921,4.32120959067373,92.3758577737081,109.314999369149
71,41,84.0134146341463,10.7540693715812,1.67950346937087,80.7215878341794,87.3052414341133,470.268292682927,111.521528054059,17.4167365677681,436.131489010101,504.405096355752,93.1707317073171,76.3105177675477,11.9177006314252,69.8120384697236,116.529424944911,96.2831707317073,14.8854421229308,2.32471549371322,91.7267283640294,100.839613099385
72,34,86.7961764705882,9.10691778837813,1.561823515716,83.7350023797849,89.8573505613916,481.323529411765,136.769817817944,23.4558302459761,435.350102129651,527.296956693878,71.8235294117647,54.5796446617986,9.36033183707934,53.4772790110892,90.1697798124402,96.9385294117647,25.2684674898773,4.33350642323344,88.4448568222272,105.432202001302
73,41,82.9007317073171,10.885733643224,1.70006597397966,79.568602398317,86.2328610163172,485.048780487805,135.288756225252,21.1285540009281,443.636814645986,526.460746329624,102.512195121951,76.7711280206366,11.9896358674146,79.0125088218186,126.011881422084,98.9675609756098,23.2952601166512,3.63810840659102,91.8368684986914,106.098253452528
74,38,84.795,10.7511434338462,1.7440657666192,81.3766310974264,88.2133689025736,472.026315789474,116.224500101732,18.8541035767155,435.072272779111,508.980358799836,87.2894736842105,68.7380094289618,11.1507775752659,65.4339496366893,109.144997731732,102.280789473684,20.7700857369932,3.36935282526282,95.6768579361691,108.884721011199
75,41,83.5731707317073,10.2422852525753,1.59957621823088,80.4380013439748,86.7083401194398,493.073170731707,132.343755093299,20.6686220953849,452.562671424753,533.583670038662,97.2439024390244,76.7127044523281,11.9805116389689,73.7620996266454,120.725705251403,99.7507317073171,18.7335944749324,2.92569592284581,94.0163676985393,105.485095716095
76,37,83.2335135135135,10.3180653915074,1.69627950131428,79.9088056909375,86.5582213360895,490.351351351351,143.819566010914,23.6437910068902,444.009520977847,536.693181724856,100.864864864865,71.7956831579735,11.8031376040671,77.7307151608933,123.999014568836,92.8851351351351,15.1608174841196,2.49242304111062,87.9999859745583,97.7702842957119
77,39,84.0484615384615,10.4222347180544,1.66889320392534,80.7774308587679,87.3194922181552,454.641025641026,123.208741824914,19.7291883610711,415.971816453326,493.310234828725,88.8205128205128,64.7281244473138,10.3647950670143,68.5055144891648,109.135511151861,100.437948717949,17.2744393129342,2.76612407519818,95.0163455305603,105.859551905337
78,37,84.0251351351351,11.2629514637894,1.85161781471637,80.3959642182911,87.6543060519792,478,109.550850699065,18.0100489133667,442.700304129801,513.299695870199,94.2432432432432,75.7710020043601,12.456675996629,69.8281582898504,118.658328196636,103.738648648649,22.4879921244603,3.69700313179213,96.4925225103361,110.984774786961
79,41,85.2353658536585,9.33344312072479,1.45763892353692,82.3783935635262,88.0923381437909,463.024390243902,128.039347039275,19.9963864968843,423.831472710009,502.217307777796,83.0243902439024,64.8742968381462,10.1316629870914,63.1663307892033,102.882449698602,95.5856097560976,19.236015706063,3.00416093656417,89.6974543204318,101.473765191763
80,38,83.3971052631579,9.83871390955269,1.59605015250664,80.2688469642449,86.5253635620709,480.921052631579,106.465419224995,17.2709716079611,447.069948279975,514.772156983183,97.1842105263158,61.8257600747403,10.0294626618139,77.5264637091605,116.841957343471,96.3807894736842,12.7547342310937,2.0690911131132,92.3253708919824,100.436208055386
81,38,86.2378947368421,9.46020345986986,1.53464764944625,83.2299853439275,89.2458041297567,485.842105263158,122.120128344182,19.8105007686643,447.013523756576,524.67068676974,76.3684210526316,53.9055335135966,8.74463225338759,59.2289418359919,93.5079002692713,93.6744736842105,13.2306386226876,2.14629299983994,89.4677394045242,97.8812079638968
