"day_from_first_ptvisit","count","avg_Efficiency","sd_Efficiency","se_Efficiency","ci_lower_Efficiency","ci_upper_Efficiency","avg_tib","sd_tib","se_tib","ci_lower_tib","ci_upper_tib","avg_tst","sd_tst","se_tst","ci_lower_tst","ci_upper_tst","avg_waso","sd_waso","se_waso","ci_lower_waso","ci_upper_waso","avg_mi","sd_mi","se_mi","ci_lower_mi","ci_upper_mi","avg_fi","sd_fi","se_fi","ci_lower_fi","ci_upper_fi","avg_sfi","sd_sfi","se_sfi","ci_lower_sfi","ci_upper_sfi"
21,34,83.4635294117647,9.80030824572523,1.68073899810234,80.1692809754841,86.7577778480453,536.411764705882,106.718013488127,18.3019883224329,500.539867593914,572.283661817851,445.352941176471,95.3303291600003,16.3490165721097,413.308868695136,477.397013657806,91.0588235294118,60.9261555896777,10.4487494818021,70.5792745450797,111.538372513744,64.4738235294118,6.63905251304316,1.13858811267372,62.2421908285713,66.7054562302523,32.5817647058823,12.1085936101467,2.07660667220579,28.511615628359,36.6519137834057,97.0555882352941,10.8867222969435,1.86705747076521,93.3961555925943,100.715020877994
22,35,79.9931428571429,12.3381848153533,2.08553387846453,75.9054964553524,84.0807892589333,551.057142857143,126.410382777482,21.3672545692499,509.177323901413,592.936961812873,434.571428571429,98.6968876421749,16.6828189038493,401.873103519884,467.269753622973,116.485714285714,88.3999505684489,14.942318868143,87.198769304154,145.772659267275,66.6888571428571,6.41613534560402,1.08452481725025,64.5631885010467,68.8145257846676,34.5671428571429,14.6516256017245,2.47657674319735,29.7130524404761,39.4212332738097,101.256,11.9905816470801,2.02677821913988,97.2835146904858,105.228485309514
23,37,83.0956756756757,10.9394123193109,1.79842830701047,79.5707561939352,86.6205951574162,523.621621621622,112.272325508449,18.4574566160064,487.445006654249,559.798236588994,433.351351351351,100.774009054423,16.567145035248,400.879747082265,465.822955620437,90.2702702702703,63.7672193078721,10.4832662774928,69.7230683663844,110.817472174156,65.4762162162162,6.51478802902006,1.07102455447996,63.3770080894355,67.5754243429969,33.5951351351351,19.2199421350762,3.15973902307409,27.4020466499099,39.7882236203603,99.0713513513514,20.7063130687455,3.40409689932945,92.3993214286656,105.743381274037
24,33,81.1709090909091,9.81908484904409,1.7092832741517,77.8207138735717,84.5211043082464,574.181818181818,123.964323130048,21.5794187926134,531.886157348296,616.47747901534,464,105.669886912024,18.3947662187489,427.946258211252,500.053741788748,110.181818181818,71.3667703423022,12.4233600943166,85.8320323969577,134.531603966679,63.5987878787879,7.01371547290368,1.22093114906328,61.2057628266239,65.9918129309519,28.9715151515152,15.2199125574878,2.64944670185817,23.7785996158731,34.1644306871572,92.570303030303,16.3678557859697,2.84927796824252,86.9857182125477,98.1548878480584
25,38,84.3126315789474,9.4320699869634,1.53008379749002,81.3136673358669,87.3115958220278,574.710526315789,115.180682477279,18.6847739982753,538.08836927917,611.332683352409,484.973684210526,113.523300821034,18.4159111906432,448.878498276866,521.068870144187,89.7368421052632,57.7687300668966,9.37132548837138,71.3690441480553,108.104640062471,62.9423684210526,7.55729518116052,1.22595516419252,60.5394962992353,65.34524054287,38.6865789473684,29.9598416150972,4.86012808365362,29.1607279034073,48.2124299913295,101.628947368421,30.4406488361323,4.93812531433987,91.9502217523149,111.307672984527
26,33,85.2624242424242,11.23805616819,1.95629447525699,81.4280870709205,89.096761413928,571.393939393939,123.32881338974,21.4687907466835,529.31510953044,613.472769257439,487.787878787879,126.438166106935,22.0100595792324,444.648162012583,530.927595563174,83.6060606060606,69.3523338621074,12.0726917137726,59.9435848470662,107.268536365055,61.7293939393939,7.65426675921424,1.33243681550363,59.1178177810068,64.3409700977811,32.6654545454545,12.8857586337857,2.2431226581803,28.2689341354211,37.0619749554879,94.3948484848485,13.3377226132341,2.32179948829909,89.8441214877823,98.9455754819147
27,34,82.12,9.01810636576451,1.54659248239327,79.0886787345092,85.1513212654908,583.147058823529,145.560803155691,24.9634717934082,534.218654108449,632.075463538609,475.882352941176,119.025274806575,20.412666225526,435.873527139146,515.891178743207,107.264705882353,68.1786018255037,11.6925337500683,84.347339732219,130.182072032487,63.455,7.782880688934,1.33475302648514,60.8388840680891,66.0711159319109,31.3426470588235,11.4816795595427,1.96909179952124,27.4832271317619,35.2020669858852,94.7976470588235,13.9447709454169,2.39150848727536,90.1102904237638,99.4850036938832
28,34,80.9008823529412,11.6436171531866,1.99686386771256,76.9870291722246,84.8147355336578,538.029411764706,131.083707998644,22.4806704570012,493.967297668983,582.091525860428,433.588235294118,120.270935970482,20.6262953527029,393.16069640282,474.015774185415,104.441176470588,72.9355012598702,12.5083352727274,79.9248393360425,128.957513605134,65.0855882352941,7.48920078722507,1.28438733885726,62.5681890511339,67.6029874194544,32.5058823529412,14.4826962828785,2.48376192156234,27.637708986679,37.3740557192034,97.5914705882353,16.2243662867984,2.78245586301974,92.1378570967166,103.045084079754
29,35,82.6525714285714,11.69144190344,1.97621437372072,78.7791912560788,86.525951601064,563.485714285714,121.276876082248,20.499533564219,523.306628499845,603.664800071583,463.828571428571,115.318353652294,19.4923594475049,425.623546911462,502.033595945681,99.6571428571429,78.4316648453937,13.2573710499051,73.6726955993289,125.641590114957,64.0457142857143,8.67386584744633,1.46615092518273,61.1720584723561,66.9193700990724,35.9142857142857,17.2859991434269,2.92186714466014,30.1874261107518,41.6411453178196,99.96,19.6739306458782,3.32550123851953,93.4420175725017,106.477982427498
30,32,80.646875,10.3746612653603,1.83399833331242,77.0522382667076,84.2415117332923,574.125,103.269066036253,18.255564220259,538.344094128292,609.905905871708,461.59375,93.6781929300793,16.5601213675402,429.135912119621,494.051587880379,112.53125,69.9054589104733,12.3576560093883,88.3102442215989,136.752255778401,64.0603125,6.66366337509728,1.17798039001893,61.7514709355629,66.3691540644371,36.7171875,26.3930547113434,4.66567699065462,27.5724605983169,45.8619144016831,100.7775,25.6234310613321,4.52962546518348,91.8994340882404,109.65556591176
31,31,79.0848387096774,11.856674877038,2.12952167232369,74.910976231923,83.2587011874319,543.967741935484,117.068209140645,21.0260710604392,502.756642657023,585.178841213945,427.096774193548,102.228943989691,18.3608603611466,391.109487885701,463.084060501396,116.870967741935,78.4379763190781,14.087876427157,89.2587299447077,144.483205539163,65.8751612903226,6.77008610037211,1.2159433588046,63.4919123070656,68.2584102735796,34.541935483871,17.4160107218147,3.12800786579308,28.4110400669165,40.6728309008254,100.417096774194,18.0117380604146,3.23500365436793,94.0764896116324,106.757703936755
32,32,81.84625,8.57768062116501,1.51633403351955,78.8742352943017,84.8182647056983,590.03125,123.978532058136,21.9165151849655,547.074880237468,632.987619762532,481.25,103.880825018151,18.3637089513969,445.257130455262,517.242869544738,108.78125,61.3581418605603,10.8466895476521,87.5217384866019,130.040761513398,62.80875,7.26961673125584,1.28509882182455,60.2899563092239,65.3275436907761,31.9703125,16.4884417942515,2.91477225097873,26.2573588880817,37.6832661119183,94.7790625,18.5282515511949,3.27536307884501,88.3593508654638,101.198774134536
33,35,83.2782857142857,10.8059040195937,1.82653115166953,79.6982846570134,86.858286771558,580.428571428571,129.705840431404,21.9242885807478,537.456965810306,623.400177046837,481.971428571429,124.143770001769,20.9841270830067,440.842539488735,523.100317654122,98.4571428571429,71.2742602070848,12.047548853329,74.843947104618,122.070338609668,61.6465714285714,8.07090159802745,1.36423136501362,58.9726779531447,64.3204649039981,46.8651428571429,51.1207461265758,8.64098321875437,29.9288157483843,63.8014699659014,108.511714285714,49.637512349723,8.39027095130154,92.0667832211633,124.956645350265
34,32,83.265625,10.1442066535058,1.79325932861292,79.7508367159187,86.7804132840813,576.09375,132.266924491787,23.3817098087079,530.265598774932,621.921901225068,474.75,100.415909290857,17.7511925996446,439.957662504697,509.542337495303,101.34375,72.7468475649987,12.8599473057887,76.1382532806542,126.549246719346,62.5784375,6.19393309273341,1.09494302302189,60.4323491748771,64.7245258251229,36.9865625,23.5183219734653,4.15749123739147,28.8378796747127,45.1352453252873,99.565,23.6069887137058,4.17316545071391,91.3855957166007,107.744404283399
35,36,82.45,9.64821049284714,1.60803508214119,79.2982512390033,85.6017487609967,526.638888888889,144.117442738856,24.0195737898093,479.560524260863,573.717253516915,433.333333333333,123.269739074229,20.5449565123715,393.065218569085,473.601448097582,93.3055555555556,60.3219076263553,10.0536512710592,73.6003990642795,113.010712046832,64.5966666666667,8.06072134311989,1.34345355718665,61.9634976945808,67.2298356387525,32.1680555555556,11.0180010682375,1.83633351137292,28.5688418732646,35.7672692378465,96.7647222222222,13.6200412179177,2.27000686965295,92.3155087577024,101.213935686742
36,32,80.92,10.4939696969259,1.85508928356562,77.2840250042114,84.5559749957886,537.90625,88.6916948415745,15.6786247143513,507.176145559871,568.636354440129,432.59375,77.2957701864059,13.6640908139611,405.812132004636,459.375367995364,105.3125,67.7454616977784,11.9758188402782,81.8398950730548,128.785104926945,65.9484375,5.32856944390785,0.941966896952667,64.1021823819728,67.7946926180272,35.6290625,12.0276260922645,2.12620399285413,31.4617026740059,39.7964223259941,101.5775,12.1768476772455,2.15258289151399,97.3584375326326,105.796562467367
37,32,79.2009375,12.8134484188709,2.26511906684191,74.7613041289898,83.6405708710101,537.34375,136.547429872696,24.1384034041444,490.032479327877,584.655020672123,418.1875,100.024331717257,17.6819708102313,383.530837211947,452.844162788053,119.15625,90.405220151522,15.981536055951,87.8324393303361,150.480060669664,66.740625,6.54873094699492,1.15766301519658,64.4716054902147,69.0096445097853,31.668125,13.8846379342249,2.45448040940259,26.8573433975709,36.4789066024291,98.40875,16.319204350861,2.88485501501571,92.7544341705692,104.063065829431
38,36,81.8927777777778,12.6572356745316,2.1095392790886,77.7580807907641,86.0274747647914,575.638888888889,135.153278651162,22.5255464418604,531.488817862843,619.788959914935,471.888888888889,133.470548442671,22.2450914071118,428.28850973095,515.489268046828,103.75,75.8789920107761,12.6464986684627,78.9628626098131,128.537137390187,63.2694444444444,10.1147292724011,1.68578821206685,59.9652995487934,66.5735893400955,32.8197222222222,20.0684013864171,3.34473356440286,26.2640444359926,39.3754000084518,96.0891666666667,19.4398289785246,3.23997149642077,89.738822533682,102.439510799651
39,36,82.7294444444444,9.92978346604495,1.65496391100749,79.4857151788698,85.9731737100191,554.444444444444,133.088680305264,22.181446717544,510.968808878058,597.920080010831,456.611111111111,115.317023344413,19.2195038907355,418.94088348527,494.281338736953,97.8333333333333,69.9675434959463,11.6612572493244,74.9772691246575,120.689397542009,64.5497222222222,7.84733967154697,1.30788994525783,61.9862579295169,67.1131865149276,29.9727777777778,15.6322872124352,2.60538120207252,24.8662306217156,35.0793249338399,94.5225,17.0342905215165,2.83904842025276,88.9579650963046,100.087034903695
40,35,84.3982857142857,9.93206941463575,1.67882614480767,81.1077864704627,87.6887849581088,589.2,115.338325858167,19.4957353664588,550.988358681741,627.411641318259,494.257142857143,99.9745093561774,16.8987763893538,461.135541134009,527.378744580276,94.9428571428571,66.5626387243593,11.2511394647699,72.8906237919082,116.995090493806,62.5317142857143,6.73020735879935,1.13761267689889,60.3019934389925,64.7614351324361,29.2417142857143,16.4722817958844,2.78432380897576,23.7844396201218,34.6989889513068,91.7734285714286,17.1885731438851,2.90539914505337,86.078846247124,97.4680108957332
41,34,82.6585294117647,9.23985934969462,1.58462280538841,79.5526687132034,85.764390110326,562.647058823529,111.657452994725,19.1490952092115,525.114832213475,600.179285433584,466.147058823529,114.549481792656,19.6450740562482,427.642713673283,504.651403973776,96.5,58.7920062593547,10.0827458911688,76.7378180533091,116.262181946691,62.8779411764706,7.59361964211813,1.30229502473362,60.3254429279927,65.4304394249485,35.2311764705882,16.4166900965295,2.81543912427785,29.7129157870037,40.7494371541728,98.1091176470588,14.5164751476732,2.48955494908234,93.2295899468574,102.98864534726
42,33,84.0536363636364,9.38805951001784,1.6342513934765,80.8505036324224,87.2567690948503,537.787878787879,125.134367175788,21.7830973174607,495.093008045656,580.482749530102,452.818181818182,120.724752677696,21.0154819619647,411.627837172731,494.008526463633,84.969696969697,58.2658159046134,10.1427766550213,65.0898547258552,104.849539213539,63.5978787878788,7.73614679506849,1.34669030021471,60.958365799458,66.2373917762996,32.4221212121212,17.2002515892893,2.99417947851174,26.5535294342382,38.2907129900042,96.02,18.1360381905751,3.15707901653834,89.8321251275849,102.207874872415
43,38,82.2165789473684,11.5318827783028,1.87071841260965,78.5499708586535,85.8831870360833,609.342105263158,138.73448806707,22.5057058140888,565.230921867544,653.453288658772,494.868421052632,110.204274958194,17.8774940984035,459.828532619761,529.908309485502,114.473684210526,86.0966574490414,13.966722125992,87.0989088435821,141.848459577471,61.2142105263158,6.89678994330322,1.118807065843,59.0213486772635,63.4070723753681,38.2528947368421,40.5416487823155,6.57672388045146,25.3625159311572,51.143273542527,99.4671052631579,40.4113359736821,6.55558435144341,86.6181599343288,112.316050591987
44,34,82.6017647058824,8.65616944835974,1.48452081314751,79.6921039121133,85.5114254996515,537.411764705882,108.629232531708,18.6297596843044,500.897435724646,573.926093687119,441.705882352941,89.2696050657322,15.3096109650036,411.699044861534,471.712719844348,95.7058823529412,57.226572240612,9.81427617182053,76.4699010561729,114.941863649709,65.3685294117647,6.12329636534903,1.05013666306562,63.3102615521561,67.4267972713733,36.2097058823529,16.2866218543326,2.79313260476911,30.7351659770055,41.6842457877004,101.578235294118,17.4436237322598,2.99155678984084,95.7147839860296,107.441686602206
45,37,81.4902702702703,10.1785931374753,1.67335040399419,78.2105034784417,84.7700370620989,586.540540540541,119.137547629852,19.5860921803914,548.151799866973,624.929281214108,477.513513513513,116.115273572243,19.0892333859612,440.09861607703,514.928410949997,109.027027027027,68.433863647274,11.2504578810048,86.9761295802577,131.077924473796,62.672972972973,7.19052496339796,1.18211502217652,60.356027529507,64.9899184164389,32.8805405405405,17.1546074060369,2.82020008517345,27.3529483736006,38.4081327074805,95.5535135135135,19.5705832559732,3.21738406825718,89.2474407397294,101.859586287298
46,34,82.1885294117647,10.2697918695835,1.76125477534161,78.7364700520951,85.6405887714343,561.676470588235,129.306476574592,22.1758777823055,518.211750134917,605.141191041554,465.088235294118,140.517521315996,24.0985560934257,417.855065351003,512.321405237232,96.5882352941177,61.7267279896367,10.5860465156992,75.8395841233472,117.336886464888,63.5411764705882,8.53949603392197,1.46451148764768,60.6707339547988,66.4116189863777,33.3682352941176,23.922108890337,4.10260782831783,25.3271239506147,41.4093466376206,96.9094117647059,27.7405382112452,4.75746305432025,87.5847841782382,106.234039351174
